ID,Order ID,Status,Project Name,Type,Token Name,Stage,From Address,Fund Address,Received Address,Transmit Address,Amount,Project Quota,Platform Quota,Created Time,Updated Time,Amount Float,Buy Amount,Project ID,Transaction Hash,Has Incribed,Page Num,Page Size,Price,Failure Description,Size,Handling Fee
466,86433f25-c3b9-40fe-9b44-f48f67e16f21,failed,Deindex OG Pass,NFT,OG Pass NFT,public,tb1qwtql4sxrsedv6g2tg5ek6pwx27rr37wjycaky8,2NFFkQiFUfNNr2hR4kNannx9DmTuVRc2aiw,tb1qwtql4sxrsedv6g2tg5ek6pwx27rr37wjycaky8,,1200,null,null,Thu Feb 01 15:09:34 CST 2024,Thu Feb 01 15:09:34 CST 2024,null,1,6,6c4bb0c59dd04d8b4cc04337bf183f3d60a85aed1b29a998df8809ab266d7305,uninscribed,null,null,null,null,null,null
465,c6e5307f-bbea-41d9-a093-5952e2eb9e8e,completed,NFT005,NFT,nft05,public,tb1qr32nhzfe0hcjdrawqzkwrzkm7xu7k22k823nfw,tb1qd59dp6c6ledpguv8c3zk55h80cdueed6cuxlpt,tb1qr32nhzfe0hcjdrawqzkwrzkm7xu7k22k823nfw,,2400,null,null,Thu Feb 01 14:52:30 CST 2024,Thu Feb 01 14:52:30 CST 2024,null,2,5,7c3a70babb2d0c39f9021446a56ee8cedd000f4926bd8eb64db9bfdd7174e2b1,uninscribed,null,null,null,null,null,null
464,f6b70fc1-9295-4631-8ea3-2cf4ce396ea1,completed,NFT005,NFT,nft05,whitelist,tb1qr32nhzfe0hcjdrawqzkwrzkm7xu7k22k823nfw,tb1qd59dp6c6ledpguv8c3zk55h80cdueed6cuxlpt,tb1qr32nhzfe0hcjdrawqzkwrzkm7xu7k22k823nfw,,1200,null,null,Thu Feb 01 14:52:13 CST 2024,Thu Feb 01 14:52:13 CST 2024,null,1,5,cc1ed1fea4bc1dbd12fac27befc4effaa0c3c424e3e8825fe2e8d85ac364ff2d,uninscribed,null,null,null,null,null,null
463,c0c1af94-2216-4f20-b070-d22c567051c4,failed,Deindex OG Pass,NFT,OG Pass NFT,public,tb1qwtql4sxrsedv6g2tg5ek6pwx27rr37wjycaky8,2NFFkQiFUfNNr2hR4kNannx9DmTuVRc2aiw,tb1qwtql4sxrsedv6g2tg5ek6pwx27rr37wjycaky8,,1200,null,null,Thu Feb 01 14:47:59 CST 2024,Thu Feb 01 14:47:59 CST 2024,null,1,6,9cb25493e7e475e7ec1f0de45a158e7f47e91ad9873f373c707c2db33783f57b,uninscribed,null,null,null,null,null,null
462,2ea7c588-91b8-4f1b-8941-3ce4ac44ce81,failed,Deindex OG Pass,NFT,OG Pass NFT,public,tb1qwtql4sxrsedv6g2tg5ek6pwx27rr37wjycaky8,2NFFkQiFUfNNr2hR4kNannx9DmTuVRc2aiw,tb1qwtql4sxrsedv6g2tg5ek6pwx27rr37wjycaky8,,1200,null,null,Thu Feb 01 14:47:50 CST 2024,Thu Feb 01 14:47:50 CST 2024,null,1,6,bfc91dd511845c718552047abf9ebbe1e7f160bcc2ced4dadb591d1bb1f2b8c6,uninscribed,null,null,null,null,null,null
461,e3c21b23-cacc-491f-a232-dbbb82d7153e,failed,Deindex OG Pass,NFT,OG Pass NFT,public,tb1qwtql4sxrsedv6g2tg5ek6pwx27rr37wjycaky8,2NFFkQiFUfNNr2hR4kNannx9DmTuVRc2aiw,tb1qwtql4sxrsedv6g2tg5ek6pwx27rr37wjycaky8,,1200,null,null,Thu Feb 01 14:47:41 CST 2024,Thu Feb 01 14:47:41 CST 2024,null,1,6,091b610f657f29705d578651f7c1666b6e509a641095fda41980622936380118,uninscribed,null,null,null,null,null,null
460,f8fc914d-8390-43cf-b625-fb874fbfd921,failed,Deindex OG Pass,NFT,OG Pass NFT,public,tb1qwtql4sxrsedv6g2tg5ek6pwx27rr37wjycaky8,2NFFkQiFUfNNr2hR4kNannx9DmTuVRc2aiw,tb1qwtql4sxrsedv6g2tg5ek6pwx27rr37wjycaky8,,7200,null,null,Thu Feb 01 14:39:48 CST 2024,Thu Feb 01 14:39:48 CST 2024,null,6,6,9555b1dc72bc159656c928d6d0cb46bb6832e180affb38c3821adc990838ffb4,uninscribed,null,null,null,null,null,null
459,82c27e1d-e54a-474f-9969-c66be5b4ab6d,completed,Deindex OG Pass,NFT,OG Pass NFT,public,tb1qwtql4sxrsedv6g2tg5ek6pwx27rr37wjycaky8,2NFFkQiFUfNNr2hR4kNannx9DmTuVRc2aiw,tb1qwtql4sxrsedv6g2tg5ek6pwx27rr37wjycaky8,,7200,null,null,Thu Feb 01 14:39:36 CST 2024,Thu Feb 01 14:39:36 CST 2024,null,6,6,6ba47aad88e8047b6be286ee91f8c2af1ccacf096eda7bd155dd1e45a8905fae,uninscribed,null,null,null,null,null,null
456,c8b11ac1-2500-48d1-b331-3d5653f40e59,unisatVerify,Coinmarketcap,FT,CMCA,whitelist,tb1qx0x44w9ptwn32f9cuwm94td77g3f3ag0r97fw4,tb1qdynfa04napkmmml4erfk6qmrtkf26j04lku4pj,tb1qx0x44w9ptwn32f9cuwm94td77g3f3ag0r97fw4,,1210,null,null,Thu Feb 01 14:20:01 CST 2024,Thu Feb 01 14:20:01 CST 2024,null,24780000,34,f6e4d8605693924d01c6768628ad5f32a796be5a1b772311c17d250e34fa7d63,inscribed,null,null,null,null,null,null
455,4ad023f2-1339-453d-a92d-df398270822f,failed,Coinmarketcap,FT,CMCA,whitelist,tb1qufuuyzw63vhjrkdh2du4qqvak6apkep2hupxws,tb1qdynfa04napkmmml4erfk6qmrtkf26j04lku4pj,tb1qufuuyzw63vhjrkdh2du4qqvak6apkep2hupxws,,1210,null,null,Thu Feb 01 14:19:33 CST 2024,Thu Feb 01 14:19:33 CST 2024,null,11,34,73da5a4ac449c197aeff3ab2ff1ce4f0dbcaf66fa3122db6808a5d4af9ceec57,uninscribed,null,null,null,null,null,null
454,5c9ca685-9a8d-4be4-9da6-c8d9f4a711bb,unisatVerify,Coinmarketcap,FT,CMCA,whitelist,tb1qufuuyzw63vhjrkdh2du4qqvak6apkep2hupxws,tb1qdynfa04napkmmml4erfk6qmrtkf26j04lku4pj,tb1qufuuyzw63vhjrkdh2du4qqvak6apkep2hupxws,,1210,null,null,Thu Feb 01 14:19:17 CST 2024,Thu Feb 01 14:19:17 CST 2024,null,11,34,75b9ca1a6485bc213a2996fb2b10fbf0564aa6a090d5293706b1baede4511463,inscribed,null,null,null,null,null,null
450,9a3b002c-d157-470c-9feb-7906dede40e7,completed,NFT005,NFT,nft5,public,tb1pgezvp0dgkny5l37w8xqzkdt2u36fe7xmjq7h6tav4k5gsvzgd65qn27yad,tb1qd59dp6c6ledpguv8c3zk55h80cdueed6cuxlpt,tb1qufuuyzw63vhjrkdh2du4qqvak6apkep2hupxws,,1200,0.0,0.0,Thu Feb 01 13:32:15 CST 2024,Thu Feb 01 13:32:15 CST 2024,null,1,5,90221efc921fbe4d1462e978b3ce97cdb23a8ade239ebd2089c1c30e3c7e7766,uninscribed,null,null,null,null,null,null
449,cfe75f17-35e6-4fd8-83ab-b8879610f9ca,completed,NFT005,NFT,nft5,public,tb1pgezvp0dgkny5l37w8xqzkdt2u36fe7xmjq7h6tav4k5gsvzgd65qn27yad,tb1qd59dp6c6ledpguv8c3zk55h80cdueed6cuxlpt,tb1qufuuyzw63vhjrkdh2du4qqvak6apkep2hupxws,,1200,0.0,0.0,Thu Feb 01 13:32:15 CST 2024,Thu Feb 01 13:32:15 CST 2024,null,1,5,fcd5f7a07582716afa6aad9e8037973684966998d501ccb48b9f0d8ba39a1588,uninscribed,null,null,null,null,null,null
448,8a488a8f-8d67-4377-a13b-196a43ffedb8,completed,NFT005,NFT,nft5,public,tb1pgezvp0dgkny5l37w8xqzkdt2u36fe7xmjq7h6tav4k5gsvzgd65qn27yad,tb1qd59dp6c6ledpguv8c3zk55h80cdueed6cuxlpt,tb1qufuuyzw63vhjrkdh2du4qqvak6apkep2hupxws,,1200,0.0,0.0,Thu Feb 01 13:32:15 CST 2024,Thu Feb 01 13:32:15 CST 2024,null,1,5,97fd33c791524cf6ffc41f8708fcdfd6e80d2de59c8d793c29631e3d3f4d9f40,uninscribed,null,null,null,null,null,null
447,0d32c784-6159-4c68-8991-eea2f11010a3,completed,NFT005,NFT,nft5,public,tb1pgezvp0dgkny5l37w8xqzkdt2u36fe7xmjq7h6tav4k5gsvzgd65qn27yad,tb1qd59dp6c6ledpguv8c3zk55h80cdueed6cuxlpt,tb1qufuuyzw63vhjrkdh2du4qqvak6apkep2hupxws,,1200,0.0,0.0,Thu Feb 01 13:32:15 CST 2024,Thu Feb 01 13:32:15 CST 2024,null,1,5,aedc4d386197302f2af302293d504eb348b5f8897d8b3d6bd21a389210e45bc2,uninscribed,null,null,null,null,null,null
446,ccea5433-6825-49d6-9d56-806a585f871f,completed,NFT005,NFT,nft5,public,tb1pgezvp0dgkny5l37w8xqzkdt2u36fe7xmjq7h6tav4k5gsvzgd65qn27yad,tb1qd59dp6c6ledpguv8c3zk55h80cdueed6cuxlpt,tb1qufuuyzw63vhjrkdh2du4qqvak6apkep2hupxws,,1200,0.0,0.0,Thu Feb 01 13:32:15 CST 2024,Thu Feb 01 13:32:15 CST 2024,null,1,5,e94f4f5d36fec660ea782fa26aaba1c2725a9119097c57443feb663f8d75ce61,uninscribed,null,null,null,null,null,null
